student_id,n_videos,n_navigate,n_access,n_problem,n_page_close,n_discussion,n_wiki,n_events,n_events_lst_wk,n_access_lst_wk,n_access_lst2_wk,days_course_strt_access1,days_course_end_access_lst,unique_days_accessed,dropout
106,3,2,16,0,5,0,0,26,4,4,16,19,3,7,1
109,6,5,14,0,10,0,0,35,29,12,14,20,1,2,1
111,4,28,12,0,4,0,1,49,10,2,12,20,5,3,1
113,38,14,90,26,63,16,3,250,61,21,49,2,1,14,0
119,50,54,146,61,108,9,5,433,98,38,65,4,0,11,0
122,36,17,72,17,56,10,0,208,91,30,40,6,1,8,0
123,36,25,109,28,76,26,1,301,123,49,71,12,0,9,0
129,22,7,76,9,41,0,0,155,0,0,52,4,9,4,1
130,8,6,47,12,20,1,1,95,0,0,4,4,9,5,0
131,0,2,2,0,1,0,0,5,0,0,2,20,9,1,1
132,2,4,3,0,2,0,0,11,0,0,0,2,27,2,1
134,8,14,23,28,11,0,0,84,9,3,3,0,2,4,1
135,17,25,78,39,52,16,1,228,13,8,49,11,1,13,1
138,30,29,80,29,55,28,5,256,256,80,80,22,1,4,0
141,31,36,105,117,42,22,0,353,2,0,47,13,12,6,1
142,12,33,88,55,58,11,2,259,140,57,82,11,0,7,0
144,81,36,165,64,34,13,1,394,104,37,78,0,1,10,0
146,32,39,128,18,56,5,4,282,42,24,80,6,0,16,0
148,39,50,234,53,92,54,1,523,142,64,146,1,2,18,0
149,0,7,4,8,0,0,0,19,19,4,4,28,1,1,1
150,0,4,16,26,7,0,0,53,53,16,16,22,1,2,0
151,47,34,127,62,92,86,3,451,148,51,89,14,3,7,0
152,27,20,136,47,51,24,2,307,41,17,78,1,3,8,0
155,3,30,95,42,26,22,1,219,38,21,40,1,4,9,0
156,1,4,3,0,1,0,0,9,7,3,3,22,7,2,1
157,0,10,38,58,18,0,0,124,21,8,31,14,1,4,1
159,61,40,252,54,130,20,1,558,186,79,175,12,5,9,0
160,13,3,35,4,22,0,0,77,77,35,35,27,1,2,1
161,22,40,84,16,56,34,5,257,67,24,50,5,1,10,0
162,0,30,70,46,3,5,2,156,34,20,44,11,5,5,0
164,0,3,3,0,0,0,1,7,7,3,3,28,1,1,1
171,5,8,20,0,10,0,0,43,0,0,20,16,9,4,0
172,29,49,108,23,65,96,21,391,84,30,57,0,1,13,0
173,57,69,176,52,119,7,5,485,118,49,95,1,3,17,0
174,11,12,36,0,18,17,2,96,86,33,36,17,0,5,0
176,6,23,58,17,26,2,1,133,22,9,26,2,1,9,1
178,22,42,100,29,67,114,3,377,81,32,49,4,0,15,0
180,4,39,138,19,9,7,0,216,34,25,138,15,1,7,0
186,10,11,127,7,2,4,2,163,19,11,127,20,7,3,0
189,68,55,200,42,142,23,4,534,43,24,88,2,0,10,0
190,41,21,68,31,57,39,4,261,169,51,54,9,0,7,0
192,60,70,247,32,58,0,0,467,33,13,154,4,1,19,0
193,2,5,3,0,2,0,0,12,1,0,3,17,12,2,1
195,15,15,65,8,24,8,0,135,135,65,65,28,1,1,1
196,1,18,51,54,18,1,1,144,35,17,41,14,6,3,1
198,42,19,101,14,79,0,0,255,99,39,57,2,0,17,0
199,73,57,307,238,114,239,8,1036,96,32,164,5,7,10,0
200,3,4,8,0,3,0,0,18,11,5,5,0,6,2,1
201,21,13,90,38,53,3,0,218,80,30,53,1,4,12,0
208,8,5,16,0,12,0,0,41,17,7,16,20,5,5,0
209,17,13,59,27,49,0,0,165,0,0,20,4,8,7,0
212,1,3,4,0,1,0,0,9,0,0,4,20,9,1,1
214,38,23,71,15,55,4,1,207,98,33,39,10,0,9,0
216,8,20,42,5,32,4,2,113,0,0,2,2,9,10,1
221,23,30,72,24,49,3,1,202,24,9,45,4,3,13,1
222,1,11,30,9,5,1,0,57,22,10,26,11,1,5,0
226,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
228,65,43,199,38,115,3,0,463,136,59,132,1,0,17,0
230,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
231,42,17,111,52,71,2,1,296,147,52,111,20,0,5,0
233,15,18,42,12,28,8,4,127,43,15,21,4,1,7,0
235,1,26,111,8,10,3,6,165,0,0,44,7,9,9,1
239,4,33,94,23,19,2,0,175,43,25,48,7,0,20,0
240,42,21,233,25,37,279,0,637,500,193,233,18,0,12,0
241,12,27,43,8,23,2,2,117,13,7,24,10,1,6,0
242,7,63,106,28,49,16,6,275,70,32,83,4,0,11,0
244,31,16,97,30,68,13,0,255,111,43,65,6,2,7,0
245,0,20,8,21,6,0,0,55,2,0,5,3,14,7,1
247,4,17,62,12,6,0,0,101,13,6,23,1,2,7,0
248,0,4,0,0,0,0,0,4,0,0,0,NA,NA,1,1
249,18,4,27,6,22,0,0,77,22,8,27,18,1,5,0
250,37,45,129,43,86,3,4,347,134,50,95,11,0,13,0
251,1,20,80,51,6,8,2,168,25,14,41,2,1,5,0
252,47,33,77,12,69,2,2,242,21,7,68,14,0,10,0
254,1,7,39,6,2,0,1,56,40,30,39,21,3,3,1
255,32,24,181,124,51,6,0,418,166,72,121,12,3,10,0
256,1,2,4,0,2,0,0,9,0,0,4,20,9,1,1
257,23,7,89,39,43,2,0,203,65,33,51,11,1,10,0
258,12,6,34,18,25,0,0,95,41,16,23,7,1,3,0
261,31,12,69,10,44,1,1,168,18,8,30,12,0,8,0
262,0,3,0,0,0,0,0,3,3,0,0,NA,NA,1,1
266,15,62,211,64,15,18,6,391,82,51,93,0,1,14,0
268,11,47,160,66,8,2,0,294,107,56,109,1,2,12,0
270,0,11,61,24,0,24,0,120,25,11,23,3,1,13,1
272,0,19,25,0,9,111,0,164,87,6,25,18,1,12,0
275,3,14,43,2,4,2,1,69,21,12,43,20,3,4,1
277,1,23,75,12,3,15,2,131,29,11,27,1,7,5,0
278,16,10,64,65,35,0,0,190,82,31,58,12,4,4,0
280,0,2,0,0,0,0,0,2,2,0,0,NA,NA,1,1
281,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
282,23,15,51,17,39,2,1,148,47,19,34,13,0,11,0
284,55,78,118,6,37,326,0,620,55,2,2,0,2,24,0
286,0,5,0,0,0,0,0,5,5,0,0,NA,NA,1,1
288,9,9,33,2,24,1,1,79,1,1,20,11,4,8,1
293,11,6,36,4,21,3,0,81,0,0,4,2,9,4,1
294,4,3,8,0,6,0,0,21,21,8,8,28,1,1,1
295,46,31,222,47,130,40,0,516,161,73,149,5,0,11,0
298,40,22,133,53,90,6,0,344,254,97,112,12,0,10,0
301,48,48,127,34,83,18,3,361,161,65,96,6,1,12,0
304,36,16,127,22,76,0,0,277,76,33,90,1,2,11,0
305,0,2,0,0,0,0,0,2,2,0,0,NA,NA,1,1
307,25,13,78,9,51,1,0,177,95,44,51,4,1,7,0
309,46,55,154,28,77,6,11,377,138,71,104,12,0,8,0
310,2,8,47,8,5,0,0,70,32,22,41,11,1,7,1
311,5,29,145,21,57,14,3,274,47,31,70,1,1,12,0
313,70,15,150,41,130,5,0,411,125,45,99,12,3,10,1
314,5,34,64,33,37,3,4,180,51,16,24,7,2,8,0
315,0,2,0,0,0,0,0,2,0,0,0,NA,NA,1,1
316,0,3,25,4,19,0,0,51,12,6,25,19,7,3,0
319,6,32,67,14,12,0,0,131,26,14,33,4,4,13,0
320,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
321,1,20,116,35,1,2,2,177,107,76,78,2,3,8,0
322,8,20,71,25,58,14,2,198,60,27,51,8,1,9,0
323,31,60,155,47,81,25,2,401,189,69,83,5,2,11,0
325,1,10,18,12,14,0,0,55,0,0,7,11,9,3,0
327,38,40,87,64,64,9,1,303,74,28,56,1,0,26,0
329,35,25,104,87,13,9,0,273,81,28,72,2,3,7,1
332,11,12,48,3,35,3,0,112,23,9,26,4,1,10,0
334,18,33,146,41,81,1,1,321,154,66,101,1,0,13,0
337,0,19,116,46,64,5,4,254,223,109,111,4,1,5,0
338,2,2,3,0,2,0,0,9,0,0,3,17,12,1,1
340,3,8,38,0,5,0,0,54,0,0,12,2,9,6,1
341,24,47,120,58,45,11,3,308,47,21,67,3,0,7,0
343,0,7,2,0,1,1,0,11,0,0,2,20,9,1,1
344,41,8,159,57,110,31,2,408,183,68,159,17,0,10,0
345,49,43,139,28,89,9,1,358,159,57,131,11,0,11,0
349,23,17,88,55,49,0,0,232,69,24,74,4,3,6,0
351,38,23,105,22,79,12,1,280,66,22,66,2,0,14,0
354,15,63,139,48,44,16,7,332,75,46,139,20,2,6,0
355,12,9,45,24,27,0,0,117,73,26,45,19,1,8,0
358,0,7,3,0,2,1,0,13,0,0,3,20,9,1,1
360,2,2,3,0,2,0,0,9,9,3,3,28,1,1,1
361,17,4,27,24,22,0,0,94,94,27,27,27,0,3,0
364,15,52,176,36,39,4,4,326,85,48,133,1,2,11,0
367,1,8,6,0,4,0,1,20,0,0,6,20,9,1,1
370,4,3,4,0,4,0,0,15,15,4,4,28,1,1,1
373,3,49,210,151,75,56,3,547,177,65,71,7,0,11,0
377,4,20,65,26,11,19,33,178,54,34,56,8,1,6,0
382,11,20,128,69,24,6,2,260,148,71,76,6,0,13,0
386,7,8,23,13,18,0,0,69,69,23,23,22,7,2,0
387,23,37,68,36,41,3,0,208,162,57,66,13,0,10,0
390,13,10,59,38,28,0,0,148,74,27,52,13,2,4,0
393,3,6,8,0,6,0,0,23,0,0,8,20,9,1,1
394,14,17,93,47,26,2,1,200,42,22,93,16,2,8,0
396,28,34,82,32,48,18,3,245,72,27,44,3,6,6,0
398,2,16,30,7,2,5,2,64,0,0,30,18,9,3,1
399,42,25,137,48,80,30,0,362,37,18,97,1,4,12,0
402,30,12,128,58,76,11,2,317,115,43,97,1,2,10,1
403,0,13,45,12,2,2,1,75,12,11,26,12,2,4,1
407,0,27,90,14,1,12,0,144,23,17,90,15,0,8,0
412,9,14,73,12,21,0,4,133,84,50,73,21,0,5,0
419,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
420,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
421,0,3,0,0,0,0,0,3,0,0,0,NA,NA,1,1
424,2,9,39,0,3,8,0,61,55,37,39,21,0,5,0
425,13,26,70,5,31,1,1,147,14,9,30,1,0,11,0
426,16,17,52,26,34,0,1,146,59,20,34,12,1,7,0
428,13,3,34,4,14,0,0,68,68,34,34,27,1,2,1
429,2,17,99,11,4,0,0,133,110,80,94,4,1,6,0
431,26,10,54,30,33,0,0,153,153,54,54,23,1,5,0
432,0,24,83,21,14,5,0,147,15,11,42,1,2,14,0
433,43,37,134,57,61,62,1,395,8,3,69,2,5,19,0
435,11,35,64,24,34,64,47,279,54,18,18,7,1,6,0
436,24,10,57,16,46,0,1,154,36,15,34,2,0,8,0
441,1,30,71,53,1,0,0,156,78,28,41,1,5,7,0
442,26,32,123,30,80,38,3,332,8,3,59,1,0,4,0
444,49,27,149,33,94,0,0,352,189,83,100,1,0,17,0
446,12,6,29,8,18,0,0,73,73,29,29,27,1,2,1
447,0,2,0,0,0,0,0,2,2,0,0,NA,NA,1,1
448,3,21,107,38,8,9,0,186,48,32,68,8,0,13,0
451,23,21,67,14,47,13,1,186,73,30,60,14,1,11,0
454,7,26,39,0,9,0,0,81,51,28,32,4,0,7,0
458,61,99,184,28,117,145,35,669,148,44,104,7,1,14,0
460,0,27,49,34,1,28,8,147,19,7,31,12,2,6,1
461,82,31,130,46,41,7,18,355,0,0,34,2,8,10,1
463,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
464,27,13,71,42,50,27,0,230,71,18,42,5,6,8,0
466,1,13,66,8,3,1,0,92,72,57,66,20,1,4,1
467,17,14,77,43,47,0,0,198,96,31,37,3,1,7,1
469,12,19,148,35,19,4,1,238,83,56,79,0,0,14,0
471,15,19,81,0,32,0,0,147,8,5,20,1,7,10,1
474,2,6,7,0,4,0,1,20,0,0,7,20,9,1,1
482,21,21,93,40,47,79,2,303,96,46,58,8,0,10,0
487,1,3,2,0,1,0,0,7,7,2,2,28,1,1,0
490,15,28,71,0,23,1,3,141,19,7,20,10,3,5,1
491,3,8,31,19,14,14,1,90,47,23,26,9,2,3,0
493,61,10,257,145,62,0,0,535,341,177,187,1,0,12,0
496,20,32,70,2,45,0,0,169,62,28,60,11,3,9,1
497,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
500,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,0
509,18,10,50,31,33,1,1,144,73,21,32,12,1,5,0
511,2,5,24,8,3,0,0,42,42,24,24,27,1,2,0
512,40,20,121,31,86,5,3,306,137,61,77,11,1,7,0
514,1,30,99,17,7,5,1,160,0,0,37,5,8,9,1
515,39,76,304,94,154,20,3,690,218,105,200,1,0,14,0
516,27,26,178,52,71,129,0,483,97,52,92,4,4,12,0
517,10,39,183,80,31,0,2,345,101,55,145,3,0,13,0
518,1,54,37,0,2,0,0,94,0,0,37,16,8,5,1
520,0,2,6,0,2,0,0,10,0,0,6,20,9,1,1
522,54,90,184,82,112,21,11,554,170,62,114,2,0,16,0
525,0,4,6,0,2,0,0,12,12,6,6,28,1,1,1
530,43,53,78,5,64,10,12,265,23,9,31,12,4,7,0
532,0,24,132,52,0,0,0,208,67,48,109,10,5,14,0
533,12,29,110,20,4,35,2,212,37,2,110,17,4,6,0
534,4,10,30,3,4,0,0,51,51,30,30,26,1,3,0
536,9,36,48,5,26,0,0,124,32,14,31,8,1,6,1
541,38,42,122,51,73,8,1,335,126,46,59,1,1,13,0
545,7,6,13,12,11,0,0,49,49,13,13,28,0,2,1
546,33,14,87,36,54,4,1,229,76,32,87,16,1,4,0
547,3,7,47,20,3,2,1,83,59,32,34,9,1,7,0
548,0,13,9,0,2,0,1,25,0,0,9,17,12,3,1
550,1,12,23,2,3,0,1,42,0,0,23,20,8,2,1
555,0,3,0,0,0,0,0,3,0,0,0,NA,NA,2,1
556,39,11,67,3,58,1,1,180,180,67,67,25,0,4,1
558,0,13,61,14,1,6,1,96,41,27,27,2,1,4,0
561,22,15,95,46,24,4,0,206,206,95,95,28,0,3,0
562,7,8,18,0,7,0,0,40,14,6,6,0,1,3,1
566,13,23,98,20,62,13,2,231,34,14,19,7,1,9,1
572,6,8,27,4,15,3,1,64,0,0,27,20,9,1,1
576,26,23,75,25,54,18,1,222,0,0,66,14,8,5,0
580,13,29,142,36,20,54,0,294,129,65,81,1,0,11,0
581,3,13,65,20,6,0,0,107,41,22,39,8,2,7,0
584,23,8,31,0,28,0,0,90,0,0,31,17,9,3,1
587,4,44,124,19,8,8,3,210,85,50,77,7,1,8,0
588,9,25,147,52,12,6,1,252,43,31,122,12,1,10,0
589,17,5,60,0,23,1,0,106,30,13,60,21,6,3,1
590,3,4,8,0,4,0,0,19,19,8,8,27,1,2,1
591,0,81,117,68,52,203,16,537,254,64,68,0,1,18,0
592,0,31,107,10,68,4,1,221,39,20,25,7,0,8,0
594,26,32,161,87,75,44,2,427,90,39,115,2,2,11,0
598,10,8,96,0,18,0,0,132,9,7,48,4,4,8,0
599,14,32,104,31,8,1,2,192,73,41,50,1,0,10,0
600,4,18,66,6,14,0,0,108,52,29,66,16,2,8,1
602,2,9,92,2,1,3,0,109,0,0,92,19,9,2,1
606,149,68,299,45,248,4,5,818,201,75,143,4,1,15,0
609,12,11,36,6,24,0,1,90,7,3,3,7,1,4,0
611,11,25,65,26,30,22,1,180,38,11,39,1,1,10,0
612,1,16,65,2,7,2,2,95,40,23,47,11,2,5,0
613,4,15,43,6,8,1,1,78,28,16,43,19,2,5,1
616,2,3,18,0,3,0,0,26,0,0,18,19,9,2,1
617,2,6,23,21,1,0,0,53,53,23,23,28,1,1,0
620,1,9,7,0,1,1,0,19,0,0,7,20,9,1,1
621,13,23,37,4,11,0,8,96,19,10,21,10,4,6,1
625,25,25,109,39,38,1,0,237,196,92,109,20,2,4,0
627,6,7,10,0,8,0,2,33,33,10,10,28,1,1,0
629,5,15,34,8,6,2,3,73,38,13,30,11,0,4,1
633,14,10,57,6,22,0,0,109,22,16,27,5,3,7,1
634,23,50,172,31,89,23,5,393,127,51,101,1,1,17,0
635,15,10,53,86,25,0,0,189,74,19,53,18,1,6,0
636,7,65,94,27,50,78,11,332,75,25,79,5,0,13,1
638,43,55,117,28,82,1,1,327,76,27,60,2,0,21,0
645,1,6,27,6,2,0,0,42,0,0,27,20,8,2,1
646,4,6,37,2,4,0,0,53,2,1,4,2,1,7,0
650,0,10,115,0,71,0,0,196,15,8,47,5,0,11,0
652,13,14,28,4,24,1,1,85,67,23,28,20,7,3,1
654,27,22,56,9,42,9,0,165,32,12,56,19,4,6,0
658,17,39,111,33,28,92,50,370,53,28,37,0,1,13,1
659,12,18,41,13,28,0,1,113,36,14,24,6,1,5,1
660,19,13,78,27,42,0,0,179,37,19,39,5,0,6,0
661,16,14,40,15,33,1,1,120,0,0,10,2,9,5,0
662,4,7,105,49,4,0,0,169,55,42,79,2,2,8,0
663,7,16,80,15,7,0,0,125,16,10,41,11,2,9,0
667,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
668,1,3,2,0,0,0,0,6,0,0,2,18,11,2,1
673,0,12,41,22,2,0,0,77,57,31,31,5,1,4,0
676,1,12,43,40,5,1,1,103,25,7,12,6,1,5,0
677,33,73,301,54,126,42,4,633,227,102,173,1,0,22,0
680,16,16,36,7,29,1,1,106,89,30,36,20,6,3,1
682,21,30,70,9,42,3,1,176,91,38,70,18,1,5,0
683,7,8,18,10,10,0,0,53,53,18,18,27,1,2,0
685,1,14,48,2,1,15,1,82,0,0,10,2,9,3,1
687,11,25,64,21,13,26,1,161,73,24,43,6,1,9,0
689,0,5,4,7,0,0,0,16,16,4,4,27,1,2,1
690,53,27,157,30,74,5,3,349,138,66,94,10,0,9,0
691,6,15,53,8,3,0,0,85,21,14,39,9,1,5,0
695,5,24,82,10,10,0,0,131,0,0,49,4,8,8,0
697,0,20,33,53,0,0,0,106,24,8,14,2,1,9,0
700,0,2,2,0,1,0,0,5,5,2,2,28,1,1,1
701,17,10,31,0,24,0,0,82,34,12,20,11,1,4,0
704,20,22,76,14,50,1,2,185,0,0,33,13,9,5,1
705,2,5,10,0,2,0,0,19,19,10,10,28,1,1,0
707,32,10,63,0,46,0,0,151,0,0,54,5,9,3,1
709,24,26,96,25,61,3,1,236,99,34,51,1,1,12,0
712,0,2,4,0,0,0,0,6,0,0,4,20,9,1,1
713,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
715,10,19,81,16,55,17,1,199,54,19,26,1,3,9,0
718,6,55,174,31,8,30,1,305,33,18,65,1,7,10,0
719,1,2,2,0,1,0,0,6,6,2,2,28,1,1,1
721,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
722,1,2,3,0,2,0,0,8,0,0,3,20,9,2,1
723,1,5,4,0,2,0,0,12,5,2,2,13,1,2,1
724,0,5,0,0,0,0,0,5,0,0,0,NA,NA,2,1
725,0,14,24,2,0,11,1,52,0,0,12,12,9,3,1
726,9,16,63,24,8,4,1,125,24,14,40,5,7,9,0
727,0,8,29,12,5,2,0,56,15,7,18,1,0,5,0
730,33,38,196,52,83,18,2,422,92,59,192,14,4,5,0
731,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
733,6,12,42,0,23,2,1,86,0,0,42,19,9,2,0
734,44,12,88,6,76,0,0,226,13,5,88,15,6,5,1
736,25,19,58,2,35,0,0,139,23,8,58,16,6,5,0
738,21,20,64,8,33,4,3,153,71,33,62,5,0,8,1
740,39,18,72,37,54,1,0,221,11,7,32,6,0,7,1
742,48,38,129,11,89,5,0,320,51,19,76,1,0,16,0
743,1,11,9,0,4,2,0,27,0,0,9,19,9,3,1
744,4,2,9,0,4,0,0,19,19,9,9,23,6,1,1
745,0,5,5,0,1,0,0,11,0,0,5,20,9,1,1
746,23,10,52,0,33,0,0,118,13,5,19,9,1,9,0
749,60,57,287,85,126,0,1,616,296,125,193,10,0,14,0
750,19,5,23,12,22,1,2,84,63,18,18,7,0,3,0
751,13,45,184,48,73,34,1,398,204,117,130,0,2,15,0
752,2,12,50,27,39,32,0,162,46,15,34,6,1,10,0
753,0,4,0,0,0,0,0,4,4,0,0,NA,NA,1,1
756,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
757,40,23,84,80,53,0,1,281,237,71,84,20,6,4,0
760,4,22,83,25,8,0,1,143,38,18,27,0,1,10,0
761,43,67,316,26,108,134,1,695,215,113,205,2,0,23,0
762,2,3,9,0,2,0,0,16,16,9,9,26,1,2,1
763,19,14,55,21,37,0,0,146,30,13,37,2,3,5,1
769,30,24,163,19,52,0,0,288,0,0,73,4,9,3,1
771,0,7,19,19,0,0,0,45,0,0,12,8,9,2,1
773,1,13,5,0,2,1,1,23,6,2,5,20,4,2,1
775,30,25,107,43,67,44,2,318,135,55,60,1,0,11,0
777,142,99,345,149,156,77,1,969,500,194,277,6,0,16,0
778,21,15,71,49,49,30,1,236,37,12,43,2,1,8,0
780,62,44,206,98,81,18,4,513,60,30,107,0,1,13,1
781,8,15,61,27,26,30,2,169,51,26,40,2,7,6,0
785,2,9,10,0,3,0,0,24,24,10,10,26,0,3,0
788,18,17,70,28,35,0,0,168,71,27,40,1,2,7,0
789,28,41,53,51,38,2,2,215,136,29,53,18,0,8,0
791,25,10,61,12,45,12,0,165,54,20,29,7,1,7,0
792,0,11,25,14,20,6,2,78,78,25,25,24,1,3,1
793,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
796,0,2,0,0,0,0,0,2,0,0,0,NA,NA,1,1
797,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,1
799,37,78,175,16,101,179,7,593,0,0,49,9,8,9,0
802,40,13,129,27,55,0,0,264,42,16,65,12,2,6,1
803,1,9,8,0,1,1,0,20,20,8,8,28,1,1,1
804,0,2,0,0,0,0,0,2,0,0,0,NA,NA,1,1
805,5,10,42,23,21,13,0,114,25,7,11,0,1,5,0
806,10,5,40,0,12,0,0,67,0,0,40,20,9,1,1
809,13,10,125,24,5,5,1,183,37,24,51,3,0,14,0
815,15,24,74,13,34,0,0,160,19,7,23,4,4,6,0
818,1,2,4,0,1,0,0,8,0,0,4,17,12,1,1
820,0,28,54,13,33,43,6,177,16,4,22,7,1,5,0
821,33,40,112,34,68,1,0,288,210,88,93,6,0,12,0
822,0,2,0,0,0,0,0,2,2,0,0,NA,NA,1,1
824,16,7,45,0,21,0,0,89,89,45,45,27,0,3,0
825,41,29,138,36,63,1,1,309,0,0,63,4,8,5,0
827,2,13,52,13,1,1,2,84,84,52,52,27,0,3,0
833,0,6,7,19,0,0,0,32,0,0,0,13,16,1,1
837,26,10,69,38,10,0,0,153,62,24,69,15,3,7,0
838,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
839,0,4,1,0,0,0,0,5,0,0,1,20,9,1,1
840,31,33,106,26,73,4,2,275,69,27,58,0,1,14,0
841,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
843,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
844,9,3,15,0,11,0,0,38,0,0,15,19,9,2,0
845,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
848,16,14,37,46,28,14,0,155,0,0,25,5,9,4,1
850,0,2,0,0,0,0,0,2,2,0,0,NA,NA,2,0
852,13,30,150,57,41,5,3,299,265,135,148,14,0,6,0
854,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
860,18,18,44,20,28,0,0,128,46,14,24,10,1,11,0
861,3,4,17,6,3,1,0,34,34,17,17,28,0,2,0
862,20,21,175,14,50,3,1,284,53,30,84,1,1,17,0
865,33,19,81,19,57,0,0,209,117,45,58,12,2,8,0
868,3,34,66,9,6,195,15,328,18,15,24,1,1,11,1
870,15,22,79,20,59,12,4,211,37,18,59,12,1,7,0
871,8,13,44,4,13,0,0,82,11,5,18,3,4,6,1
872,21,25,63,22,46,6,0,183,93,34,47,9,0,9,0
873,0,1,0,0,0,0,0,1,1,0,0,NA,NA,1,0
875,4,21,108,55,5,8,0,201,107,54,64,2,1,11,0
877,0,5,4,0,1,0,0,10,10,4,4,28,1,1,1
878,2,30,65,48,3,9,3,160,83,33,47,5,0,10,1
882,107,90,214,22,146,4,2,585,352,132,146,5,1,13,1
885,43,74,219,78,98,32,1,545,215,78,106,1,2,14,0
887,1,29,95,39,3,0,0,167,55,33,68,7,0,14,0
888,6,7,25,0,2,1,1,42,0,0,25,21,8,1,1
890,0,16,45,2,3,12,0,78,6,3,11,6,6,5,0
891,26,15,52,6,39,0,0,138,138,52,52,25,1,3,0
